#[us standard key]:[standard]:[shift]:[altgr]:[shift+altgr]
`:U+2010 ‐ HYPHEN:U+2013 – EN DASH:U+2014 — EM DASH:U+2053 ⁓ SWUNG DASH
1:U+2018 ‘ LEFT SINGLE QUOTATION MARK:U+2019 ’ RIGHT SINGLE QUOTATION MARK:U+201C “ LEFT DOUBLE QUOTATION MARK:U+201D ” RIGHT DOUBLE QUOTATION MARK
2:U+2020 † DAGGER:U+2021 ‡ DOUBLE DAGGER:U+2026 … HORIZONTAL ELLIPSIS:U+00B6 ¶ PILCROW SIGN
3:U+2022 • BULLET:U+2023 ‣ TRIANGULAR BULLET:U+22C5 ⋅ DOT OPERATOR:U+2027 ‧ HYPHENATION POINT
4:U+2032 ′ PRIME:U+2033 ″ DOUBLE PRIME:U+2034 ‴ TRIPLE PRIME:U+2057 ⁗ QUADRUPLE PRIME
5:U+203D ‽ INTERROBANG:U+203E ‾ OVERLINE:U+2042 ⁂ ASTERISM:U+00A7 § SECTION SIGN
6:U+00A9 © COPYRIGHT SIGN:U+2122 ™ TRADE MARK SIGN:U+00AE ® REGISTERED SIGN:U+03C0 π GREEK SMALL LETTER PI
7:U+00D7 × MULTIPLICATION SIGN:U+00F7 ÷ DIVISION SIGN:U+00B0 ° DEGREE SIGN:U+00B5 μ MICRO SIGN
8:U+2212 − MINUS SIGN:U+00B1 ± PLUS-MINUS SIGN:U+2213 ∓ MINUS-OR-PLUS SIGN:U+221A √ SQUARE ROOT
9:U+221E ∞ INFINITY:U+2211 ∑ N-ARY SUMMATION:U+221F ∟ RIGHT ANGLE:U+2220 ∠ ANGLE
9:U+2200 ∀ FOR ALL:U+2205 ∅ EMPTY SET:U+2203 ∃ THERE EXISTS:U+2204 ∄ THERE DOES NOT EXIST
0:U+2208 ∈ ELEMENT OF:U+2209 ∉ NOT AN ELEMENT OF:U+220B ∋ CONTAINS AS MEMBER:U+220C ∌ DOES NOT CONTAIN AS MEMBER
-:U+2227 ∧ LOGICAL AND:U+2228 ∨ LOGICAL OR:U+2229 ∩ INTERSECTION:U+222A ∪ UNION
=:U+222B ∫ INTEGRAL:U+2260 ≠ NOT EQUAL TO:U+2234 ∴ THEREFORE:U+2235 ∵ BECAUSE
q:U+1F5FA 🗺 WORLD MAP:U+1F618 😘 FACE THROWING A KISS:U+1F61C 😜 FACE WITH STUCK-OUT TONGUE AND WINKING EYE:U+1F1F6 🇶 REGIONAL INDICATOR SYMBOL LETTER Q
